SKU,name_pl,name_en,name_de,desc_pl,desc_en,desc_de,price,cost,category_id,equipment_type,min_order_qty,technical_specs_json
HYD-001,Pompa hydrauliczna A10VSO,Hydraulic pump A10VSO,Hydraulische Pumpe A10VSO,Pompa tłokowa osiowa o zmiennym wydatku,Variable displacement axial piston pump,Axialkolbenpumpe mit verstellbarem Hubvolumen,2499.99,1249.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""28cc"", ""pressure"": ""280bar"", ""speed"": ""2800rpm""}"
HYD-002,Zawór sterujący 4/3,Directional control valve 4/3,Wegeventil 4/3,Zawór rozdzielający hydrauliczny 4/3 drogowy,4-way 3-position hydraulic directional valve,4/3-Wege-Hydraulikventil,899.99,449.99,cat-hydraulika,Hydraulika,1,"{""flow"": ""80L/min"", ""pressure"": ""350bar"", ""ports"": ""G1/2""}"
HYD-003,Cylinder hydrauliczny 50/28,Hydraulic cylinder 50/28,Hydraulikzylinder 50/28,Siłownik hydrauliczny dwustronnego działania,Double-acting hydraulic cylinder,Doppeltwirkender Hydraulikzylinder,1299.99,649.99,cat-hydraulika,Hydraulika,1,"{""bore"": ""50mm"", ""rod"": ""28mm"", ""stroke"": ""300mm""}"
HYD-004,Pompa zębata PGP505,Gear pump PGP505,Zahnradpumpe PGP505,Pompa hydrauliczna zębata o stałym wydatku,Fixed displacement gear pump,Zahnradpumpe mit konstantem Fördervolumen,599.99,299.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""5cc"", ""pressure"": ""250bar"", ""speed"": ""3000rpm""}"
HYD-005,Akumulator hydrauliczny 1L,Hydraulic accumulator 1L,Hydraulikspeicher 1L,Akumulator pęcherzowy ciśnieniowy,Bladder-type pressure accumulator,Blasenspeicher,449.99,224.99,cat-hydraulika,Hydraulika,1,"{""volume"": ""1L"", ""pressure"": ""330bar"", ""type"": ""bladder""}"
HYD-006,Filtr hydrauliczny HF6177,Hydraulic filter HF6177,Hydraulikfilter HF6177,Wkład filtra hydraulicznego wysokociśnieniowy,High-pressure hydraulic filter element,Hochdruck-Hydraulikfilterelement,89.99,44.99,cat-hydraulika,Hydraulika,2,"{""filtration"": ""10μm"", ""flow"": ""100L/min"", ""pressure"": ""210bar""}"
HYD-007,Rozdzielacz monoblock 3-sekcyjny,Monoblock valve 3-section,Monoblock-Ventil 3-fach,Rozdzielacz hydrauliczny monoblock,Monoblock hydraulic directional valve,Monoblock-Hydraulik-Wegeventil,1899.99,949.99,cat-hydraulika,Hydraulika,1,"{""sections"": 3, ""flow"": ""45L/min"", ""pressure"": ""250bar""}"
HYD-008,Pompa łopatkowa V20,Vane pump V20,Flügelzellenpumpe V20,Pompa hydrauliczna łopatkowa,Hydraulic vane pump,Hydraulische Flügelzellenpumpe,1599.99,799.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""12cc"", ""pressure"": ""175bar"", ""speed"": ""1800rpm""}"
HYD-009,Zawór przelewowy DBW10,Relief valve DBW10,Druckbegrenzungsventil DBW10,Zawór przelewowy bezpośredniego sterowania,Direct-operated relief valve,Direkt gesteuertes Druckbegrenzungsventil,349.99,174.99,cat-hydraulika,Hydraulika,1,"{""pressure"": ""315bar"", ""flow"": ""60L/min"", ""adjustment"": ""manual""}"
HYD-010,Silnik hydrauliczny OMR80,Hydraulic motor OMR80,Hydraulikmotor OMR80,Silnik hydrauliczny orbit,Orbit hydraulic motor,Orbit-Hydraulikmotor,799.99,399.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""80cc"", ""pressure"": ""175bar"", ""speed"": ""1000rpm""}"
