manufacturer,model_code,model_family,year_from,year_to,data_source
CATERPILLAR,320D,32,2013,2019,sample_data
CATERPILLAR,320E,32,2010,2020,sample_data
CATERPILLAR,330D,33,2010,2014,sample_data
CATERPILLAR,336D,33,2019,2022,sample_data
CATERPILLAR,349D,34,2016,2023,sample_data
CATERPILLAR,D6T,D6,2019,2027,sample_data
CATERPILLAR,D8T,D8,2018,2024,sample_data
CATERPILLAR,950H,95,2007,2014,sample_data
CATERPILLAR,966H,96,2014,2017,sample_data
CATERPILLAR,980H,98,2006,2015,sample_data
KOMATSU,PC200,PC,2020,2030,sample_data
KOMATSU,PC210,PC,2009,2017,sample_data
KOMATSU,PC300,PC,2010,2020,sample_data
KOMATSU,PC350,PC,2010,2015,sample_data
KOMATSU,PC400,PC,2009,2019,sample_data
KOMATSU,WA320,WA,2010,2017,sample_data
KOMATSU,WA380,WA,2006,2010,sample_data
KOMATSU,D65,D6,2011,2014,sample_data
KOMATSU,D85,D8,2005,2010,sample_data
HITACHI,ZX200,ZX,2011,2021,sample_data
HITACHI,ZX210,ZX,2010,2018,sample_data
HITACHI,ZX330,ZX,2010,2019,sample_data
HITACHI,ZX350,ZX,2020,2025,sample_data
HITACHI,ZX470,ZX,2014,2019,sample_data
HITACHI,ZW220,ZW,2007,2013,sample_data
HITACHI,ZW310,ZW,2005,2010,sample_data
VOLVO,EC210,EC,2018,2028,sample_data
VOLVO,EC240,EC,2014,2018,sample_data
VOLVO,EC290,EC,2020,2025,sample_data
VOLVO,EC360,EC,2005,2008,sample_data
VOLVO,EC480,EC,2008,2012,sample_data
VOLVO,L90,L9,2018,2025,sample_data
VOLVO,L120,L1,2017,2024,sample_data
VOLVO,L150,L1,2005,2011,sample_data
DOOSAN,DX225,DX,2014,2021,sample_data
DOOSAN,DX300,DX,2008,2017,sample_data
DOOSAN,DX340,DX,2016,2025,sample_data
DOOSAN,DX420,DX,2007,2015,sample_data
DOOSAN,DX520,DX,2006,2014,sample_data
DOOSAN,DL300,DL,2018,2023,sample_data
DOOSAN,DL420,DL,2011,2015,sample_data
JCB,JS200,JS,2007,2013,sample_data
JCB,JS220,JS,2014,2022,sample_data
JCB,JS330,JS,2011,2017,sample_data
JCB,JS370,JS,2006,2015,sample_data
JCB,3CX,3C,2007,2010,sample_data
JCB,4CX,4C,2020,2028,sample_data
JCB,535-95,53,2008,2014,sample_data
